year,rmse_naive,rmse_ml
2011,7.130811470107886,6.418056495883107
2012,1.904186421001349,3.9555847677674807
2013,3.44183817167513,4.2611395254060636
2014,2.9654179644198053,5.279226002769959
2015,1.4746782448812097,4.576567124560164
2016,1.5809338543569282,4.348905107967117
2017,5.698562196827471,3.5036285169750703
2018,3.8085916518275327,3.9363364707566233
2019,3.480481288557662,3.0579508749679594
2020,1.4713781647502124,1.205018721263391
2021,6.64771612131788,7.176931208202884
2022,8.926030908403678,3.7442661658894387
2023,4.866638127770202,5.05016275453348
